dept,project_id,quarter,year,approved_amount,actual_spent,category
IT,Project_008,Q1,2024,36196.37,33635.85,Operating
Engineering,Project_009,Q1,2023,42095.18,49607.25,Travel
Operations,Project_003,Q1,2023,17428.23,15944.73,Operating
Engineering,Project_033,Q1,2023,106853.37,113811.15,Travel
Operations,Project_015,Q4,2024,13773.83,14206.11,Capital
R&D,Project_045,Q4,2024,13857.51,12196.56,R&D
R&D,Project_014,Q3,2023,28056.13,18601.44,Capital
Operations,Project_007,Q3,2024,3924.85,3397.57,Travel
HR,Project_003,Q4,2023,7999.78,7976.88,Marketing
Sales,Project_036,Q3,2024,8883.72,6557.56,Travel
Engineering,Project_046,Q1,2023,95382.34,87382.96,Operating
HR,Project_006,Q2,2023,23565.24,17350.8,Marketing
HR,Project_030,Q3,2023,12779.75,12353.4,R&D
Finance,Project_014,Q3,2023,6967.46,7011.74,Travel
IT,Project_011,Q2,2023,12080.66,10948.05,Marketing
Operations,Project_018,Q2,2024,12067.77,14817.31,Capital
Engineering,Project_003,Q3,2024,21731.17,17196.82,R&D
Sales,Project_014,Q3,2023,50138.52,38449.9,Marketing
Operations,Project_042,Q4,2023,27142.7,17806.95,R&D
R&D,Project_016,Q3,2024,5836.08,5716.61,Travel
Operations,Project_024,Q2,2023,46095.31,44975.44,Travel
Customer Success,Project_006,Q1,2023,19620.92,17753.68,Operating
IT,Project_011,Q4,2023,5021.47,4228.2,Marketing
Operations,Project_039,Q4,2024,13896.07,15404.74,Travel
Marketing,Project_044,Q1,2024,31058.2,21291.76,R&D
Sales,Project_019,Q4,2023,30457.39,27175.23,Marketing
Marketing,Project_047,Q3,2023,11193.38,11660.72,Travel
Sales,Project_041,Q3,2023,61759.28,67298.59,Operating
Finance,Project_049,Q2,2023,9516.5,8599.28,Travel
Finance,Project_032,Q1,2023,30676.85,33632.01,R&D
HR,Project_016,Q1,2023,13640.87,12578.94,Travel
Sales,Project_006,Q4,2023,7285.67,5614.11,Travel
R&D,Project_009,Q4,2023,49638.69,57255.05,R&D
Product,Project_039,Q4,2023,20496.1,22556.57,Travel
Admin,Project_045,Q2,2024,31622.87,26981.65,Marketing
IT,Project_042,Q3,2024,31615.27,37328.32,Travel
Customer Success,Project_008,Q2,2023,21251.31,25176.35,Capital
Finance,Project_002,Q2,2023,1604.0,1721.55,Capital
Sales,Project_046,Q1,2023,24029.73,21750.48,Capital
Marketing,Project_022,Q1,2023,24143.27,15738.14,R&D
IT,Project_032,Q2,2023,17682.45,17745.52,Travel
Legal,Project_031,Q2,2024,96557.51,84223.2,Marketing
Engineering,Project_007,Q1,2024,9813.42,8584.16,R&D
Operations,Project_027,Q4,2023,55017.25,54979.43,Capital
Marketing,Project_026,Q3,2023,12968.0,13318.01,Operating
Engineering,Project_013,Q4,2023,24271.97,26585.01,Marketing
R&D,Project_018,Q4,2023,10915.59,9833.32,Capital
Customer Success,Project_036,Q1,2023,14881.76,10870.72,Travel
Marketing,Project_006,Q2,2023,29617.49,29296.39,Marketing
Customer Success,Project_031,Q2,2024,22139.39,20253.38,Capital
R&D,Project_025,Q1,2024,5348.81,4743.88,R&D
Customer Success,Project_019,Q4,2024,15635.28,12971.94,Operating
Engineering,Project_019,Q2,2023,18745.6,18944.45,Travel
Admin,Project_035,Q1,2024,145246.26,141787.46,Capital
Marketing,Project_038,Q4,2023,28496.89,26753.82,Capital
Product,Project_006,Q2,2023,3233.2,3058.68,Travel
Sales,Project_044,Q2,2024,23393.89,30867.92,Capital
Legal,Project_016,Q1,2023,18172.03,18085.39,Marketing
IT,Project_038,Q3,2024,21275.01,16481.71,Operating
IT,Project_046,Q3,2023,69066.34,73403.01,R&D
Operations,Project_009,Q3,2024,48583.15,39526.86,R&D
Sales,Project_001,Q4,2023,89571.67,66258.17,Capital
Product,Project_014,Q3,2023,39610.8,50645.11,R&D
Sales,Project_016,Q3,2024,8180.13,7076.27,Operating
Customer Success,Project_035,Q3,2023,24334.52,21280.02,Travel
HR,Project_043,Q1,2023,4671.97,4486.42,R&D
Sales,Project_007,Q2,2024,7613.64,7773.82,R&D
Legal,Project_014,Q3,2023,8783.02,10385.83,R&D
Product,Project_032,Q3,2023,10064.27,9074.86,Capital
IT,Project_028,Q3,2023,49687.92,38029.66,Capital
Finance,Project_050,Q2,2024,27652.18,31691.37,Operating
Admin,Project_029,Q4,2023,4413.91,4315.46,Capital
Sales,Project_045,Q2,2023,28563.44,30485.0,R&D
Legal,Project_036,Q2,2024,6393.58,4807.53,Operating
Marketing,Project_020,Q3,2023,37121.13,36918.73,R&D
Engineering,Project_044,Q2,2023,28296.48,28352.15,R&D
Product,Project_027,Q2,2023,11158.71,10989.52,Operating
R&D,Project_027,Q1,2023,29527.36,24887.06,R&D
Operations,Project_043,Q2,2024,142311.63,145310.84,Operating
Admin,Project_007,Q4,2023,6692.19,7016.65,Marketing
Engineering,Project_013,Q4,2024,8310.86,8876.52,R&D
Engineering,Project_015,Q1,2023,70164.35,58018.74,Marketing
Finance,Project_018,Q1,2024,57720.99,58408.86,R&D
IT,Project_033,Q4,2024,50114.22,61866.95,Capital
Sales,Project_017,Q2,2024,17233.52,14423.41,Capital
Sales,Project_039,Q4,2024,9049.69,7489.78,R&D
Operations,Project_039,Q1,2024,20392.01,20415.93,Travel
Engineering,Project_017,Q1,2024,29047.59,31199.36,Capital
Product,Project_035,Q2,2024,22314.72,26064.26,Marketing
Sales,Project_043,Q3,2024,16904.64,22956.93,Capital
Admin,Project_020,Q3,2024,41178.33,33824.97,R&D
Operations,Project_045,Q3,2023,7548.53,7717.4,Operating
Operations,Project_043,Q4,2023,17615.55,18621.4,Travel
Legal,Project_020,Q4,2023,35356.5,33202.43,R&D
HR,Project_014,Q4,2024,9444.67,6826.35,Marketing
Customer Success,Project_029,Q2,2024,14093.73,15199.52,Operating
IT,Project_006,Q3,2024,27285.04,20822.28,Capital
Engineering,Project_044,Q3,2023,26191.26,26395.49,Operating
R&D,Project_002,Q1,2023,9101.03,8855.84,Marketing
Legal,Project_050,Q1,2024,23346.65,18176.64,Marketing
